x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,label
0.40679142,-1.4054054,0.4982675,-1.4324324,0.35412335,-1.4559945,0.6008316,-1.3142759,0.25294524,-1.3818433,0.6340956,-0.8787249,-0.013167013,-1.1212751,0.952876,-0.6257796,-0.46638948,-1.0893971,0.91961193,-0.76645875,-0.8669439,-1.3690228,0.21413721,0.051282052,-0.21413721,-0.051282052,0.24740125,-0.07068607,-0.26541927,-0.073458076,0.14483714,0.00970201,-0.26819128,-0.029106028,0
0.40443808,-1.4137437,0.496063,-1.4345025,0.3500358,-1.4699355,0.5905512,-1.3085183,0.23693629,-1.400859,0.61632067,-0.8682892,-0.049391553,-1.1317108,0.97995704,-0.599141,-0.5204009,-1.0858984,0.9856836,-0.68503934,-0.89262706,-1.3904796,0.2226199,0.052254833,-0.2226199,-0.052254833,0.27702218,-0.025053687,-0.30279168,-0.016463852,0.17680745,0.0365068,-0.30708662,-0.013600573,0
0.4955373,-1.4123527,0.59264547,-1.420207,0.44412708,-1.4723313,0.6697608,-1.2716887,0.31274545,-1.4009283,0.6411996,-0.8718315,0.01999286,-1.1281685,0.952517,-0.51053196,-0.44983935,-1.044627,1.1124598,-0.5505177,-0.8325598,-1.3834345,0.20849696,0.056408424,-0.20849696,-0.056408424,0.24134238,0.014994645,-0.4069975,-0.01927883,0.1370939,0.027847197,-0.43555874,-0.01071046,0
0.49333334,-1.3880702,0.59157896,-1.3943859,0.45122808,-1.4505264,0.66175437,-1.2491229,0.32491228,-1.3908772,0.62245613,-0.8821053,0.030175438,-1.1178948,0.9031579,-0.4877193,-0.41894737,-0.9740351,1.1277193,-0.5045614,-0.67157894,-1.3301754,0.20982456,0.05964912,-0.20982456,-0.05964912,0.17052631,-0.0077192984,-0.57754385,-0.058245614,0.044210527,-0.003508772,-0.6154386,-0.044210527,0
0.39633286,-1.4062059,0.48942173,-1.422426,0.348378,-1.4696755,0.5655853,-1.2863188,0.22708039,-1.403385,0.55430186,-0.877292,-0.086036675,-1.1227081,0.7771509,-0.40197462,-0.5317348,-0.9478138,1.0987306,-0.44992948,-0.70803946,-1.3194641,0.22143865,0.04090268,-0.22143865,-0.04090268,0.32440057,0.011283498,-0.28631875,0.01551481,0.30042315,0.021156559,-0.20169252,-0.023977432,0
0.47087893,-1.407695,0.56265444,-1.4302859,0.41581362,-1.4747617,0.64172256,-1.2989763,0.28309214,-1.4062831,0.6473703,-0.897988,0.0007059654,-1.102012,0.81962585,-0.32756793,-0.43416873,-0.80480057,1.1839039,-0.30780092,-0.57253796,-1.2142605,0.22802682,0.048005648,-0.22802682,-0.048005648,0.3183904,0.014119308,-0.4652312,-0.01694317,0.21531945,0.025414756,-0.46240735,0.0,0
0.380044,-1.4438738,0.47688922,-1.4666177,0.33602348,-1.5062362,0.5766691,-1.3264856,0.23477623,-1.4292003,0.60308146,-0.90168744,-0.06749816,-1.0983125,0.7028613,-0.32428467,-0.47688922,-0.7344094,1.0374174,-0.16874541,-0.61482024,-1.2428466,0.23771094,0.03961849,-0.23771094,-0.03961849,0.40352166,0.057226706,-0.38738078,0.045487896,0.33602348,0.03961849,-0.33015406,0.017608218,0
0.42573887,-1.4403292,0.5185185,-1.4710064,0.37336326,-1.5091658,0.6098017,-1.3438084,0.25963336,-1.4388328,0.6457164,-0.9046016,-0.0052375607,-1.0953984,0.7235316,-0.33969322,-0.35241303,-0.6419753,1.0677142,-0.17508417,-0.47961092,-0.865694,0.228208,0.041900486,-0.228208,-0.041900486,0.3479237,0.056864947,-0.3359521,0.044893377,0.26112983,0.020950243,-0.23569024,-0.011971568,0
0.42125383,-1.4541284,0.512997,-1.4824159,0.3646789,-1.5206422,0.6047401,-1.3455658,0.24541284,-1.4396025,0.68272173,-0.9029052,-0.0053516817,-1.0970948,0.8264526,-0.35168195,-0.33103976,-0.6536697,1.2148318,-0.23853211,-0.5084098,-0.8478593,0.23470949,0.050458714,-0.23470949,-0.050458714,0.279052,0.05351682,-0.45183486,0.02293578,0.18730886,0.013761468,-0.37538227,-0.006116208,0
0.40061396,-1.4635457,0.49424404,-1.4942441,0.34228703,-1.5264773,0.590944,-1.3591712,0.22409824,-1.4412893,0.6554106,-0.9086723,-0.047582503,-1.0913277,0.876439,-0.36684573,-0.40061396,-0.6830391,1.2693783,-0.32540292,-0.590944,-0.9140445,0.23330775,0.046047583,-0.23330775,-0.046047583,0.23330775,0.06446662,-0.3944743,0.038372986,0.15963162,0.033768225,-0.29930928,0.0,0
