x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,angle_L_elbow,angle_R_elbow,angle_L_shoulder,angle_R_shoulder,angle_L_hip,angle_R_hip,angle_L_knee,angle_R_knee,label
-0.053355563,-1.407253,0.016673613,-1.467278,-0.123384744,-1.4689454,0.11004585,-1.4064194,-0.21342225,-1.409754,0.3201334,-0.9754064,-0.42017508,-1.0245936,0.76698625,-0.86452687,-0.86536056,-0.96373487,1.1871613,-0.7603168,-1.3405585,-0.9045436,0.23009588,-0.0033347227,-0.23009588,0.0033347227,0.46019176,0.64693624,-0.3067945,0.7036265,0.7469779,1.4039183,-0.42017508,1.5273031,180.0,179.3158416748047,81.35629272460938,92.69217681884766,155.22198486328125,163.27316284179688,178.73683166503906,178.41265869140625,0
-0.0648379,-1.3973399,0.008312552,-1.4588529,-0.13466334,-1.4588529,0.10141313,-1.3998338,-0.2244389,-1.3990026,0.31753948,-0.98004985,-0.42394015,-1.0199502,0.7630923,-0.89359933,-0.8678304,-0.9684123,1.1920199,-0.8029925,-1.3316709,-0.91188693,0.23108895,-0.0024937657,-0.23108895,0.0024937657,0.45719036,0.6724855,-0.3075644,0.70074815,0.7531172,1.4256027,-0.43059018,1.5253533,179.0529022216797,179.67433166503906,84.07316589355469,94.05884552001953,156.42657470703125,163.06813049316406,177.0679473876953,177.76478576660156,0
-0.0771757,-1.3858784,-0.0049261083,-1.4466338,-0.14614122,-1.4474548,0.093596056,-1.3866996,-0.23152709,-1.3866996,0.32019705,-0.9819376,-0.4187192,-1.0180624,0.76683086,-0.91461414,-0.8587849,-0.9778325,1.1773399,-0.84729064,-1.3136289,-0.9277504,0.22824302,0.0,-0.22824302,0.0,0.4449918,0.6683087,-0.32019705,0.68472904,0.74055827,1.407225,-0.4449918,1.4958949,179.25848388671875,178.93963623046875,86.77791595458984,95.37399291992188,156.68096923828125,161.75401306152344,176.167724609375,178.9026336669922,0
-0.090614885,-1.3770226,-0.019417476,-1.4368932,-0.15857606,-1.4360842,0.080906145,-1.3754045,-0.24271844,-1.3729774,0.31391585,-0.9911003,-0.43042073,-1.0088997,0.7669903,-0.93608415,-0.87540454,-0.9878641,1.158576,-0.8940129,-1.3236246,-0.94174755,0.22653721,-0.0008090615,-0.22653721,0.0008090615,0.43042073,0.6739482,-0.33009708,0.6658576,0.7119741,1.3972492,-0.46601942,1.4587379,179.2086944580078,176.83218383789062,88.1189956665039,98.70932006835938,158.14492797851562,159.73326110839844,175.5436248779297,179.123291015625,0
-0.090460524,-1.3815789,-0.014802632,-1.4407895,-0.15625,-1.4407895,0.087171055,-1.3766447,-0.23848684,-1.3766447,0.32730263,-0.99835527,-0.42598686,-1.0016447,0.79111844,-0.96546054,-0.8799342,-1.0041119,1.1957237,-0.9350329,-1.3371711,-0.9580592,0.22861843,-0.0016447369,-0.22861843,0.0016447369,0.42598686,0.68585527,-0.32730263,0.6743421,0.7450658,1.4490131,-0.48519737,1.4983553,179.75448608398438,173.9371337890625,91.5976791381836,101.44056701660156,158.32778930664062,160.5250701904297,173.32778930664062,177.49835205078125,0
-0.10867802,-1.3722627,-0.03406326,-1.4339011,-0.17356043,-1.4290348,0.07623682,-1.3755069,-0.24817519,-1.3592863,0.32927817,-1.0089214,-0.4298459,-0.9910787,0.7866991,-0.9878346,-0.8872668,-1.0040551,1.1662612,-0.97404706,-1.3349553,-0.9691809,0.22871046,-0.00324412,-0.22871046,0.00324412,0.4298459,0.6682887,-0.33901054,0.65369016,0.7283049,1.4111922,-0.5077048,1.459854,179.44081115722656,173.92074584960938,93.0711669921875,103.0606689453125,157.61553955078125,158.93984985351562,174.78619384765625,177.80543518066406,0
-0.1107943,-1.3800408,-0.03910387,-1.4395112,-0.17922607,-1.4321792,0.06843177,-1.3784114,-0.2574338,-1.3588594,0.31934828,-1.010998,-0.4431772,-0.98900205,0.7755601,-1.008554,-0.9059063,-1.0118126,1.1731161,-0.9971487,-1.3458248,-0.9816701,0.23136456,-0.0048879837,-0.23136456,0.0048879837,0.46272913,0.6778004,-0.35193482,0.6680244,0.71364564,1.420774,-0.53441954,1.4729124,178.66351318359375,173.25816345214844,94.6908187866211,104.85274505615234,156.28060913085938,157.66453552246094,179.94064331054688,177.53065490722656,0
-0.11634576,-1.376485,-0.04752151,-1.4371159,-0.18517001,-1.4322,0.057353545,-1.3814011,-0.270381,-1.3658336,0.30970913,-1.015977,-0.45718968,-0.9840229,0.76853746,-1.0167964,-0.92585003,-1.0004097,1.1519868,-1.0126997,-1.3846784,-0.9807456,0.23105285,-0.008193363,-0.23105285,0.008193363,0.45391232,0.6489144,-0.365424,0.67349446,0.7029906,1.4469479,-0.56861943,1.4961082,179.28562927246094,175.5434112548828,94.56512451171875,104.841552734375,156.80270385742188,155.7425079345703,178.59945678710938,177.54345703125,0
-0.114848234,-1.3748975,-0.045939293,-1.4364233,-0.18375717,-1.4298606,0.059064806,-1.3822806,-0.269073,-1.3634126,0.31173092,-1.0155865,-0.45611158,-0.98441344,0.7711239,-1.0172273,-0.91878587,-1.0008204,1.1583265,-1.0123051,-1.3716161,-0.97703034,0.23297785,-0.008203445,-0.23297785,0.008203445,0.45611158,0.6513536,-0.364233,0.6759639,0.7054963,1.4503691,-0.56767845,1.4995898,179.0668487548828,174.9617919921875,94.6746826171875,104.70002746582031,156.8388214111328,156.2105712890625,178.64288330078125,177.24520874023438,0
-0.14130871,-1.3608992,-0.07707748,-1.4219189,-0.21196307,-1.4162986,0.025692493,-1.3737454,-0.2922521,-1.3560818,0.29867524,-1.0236852,-0.46888798,-0.9763147,0.74187076,-1.0381373,-0.93135285,-0.99959856,1.0983541,-1.018065,-1.3873947,-0.96668005,0.23444399,-0.010437575,-0.23444399,0.010437575,0.46246487,0.5885187,-0.3950221,0.64953834,0.6455239,1.4074669,-0.6166198,1.4524287,174.90960693359375,172.98915100097656,95.49488067626953,106.24742889404297,155.53109741210938,152.5308380126953,171.75848388671875,178.6743927001953,0
